"さて、１２月の『クリスタルウィンター』まで
６ヶ月を切ったわけだが……","Now then, it's less than six months until the Crystal Winter in December..","Now, until ""Crystal Winter"" in December.
So less than 6 months to go. ......","Now then, it's less than six months until
the Crystal Winter in December..","Now, we have less than six months until
December's 'Crystal Winter'..."
"わ～、お店がいっぱい並んでるね。
それに、すごい賑わい！","Wow, so many shops are lined up. And it's really crowded!","Wow, there are so many stores lined up.
Plus, it's a great crowd!","Wow, so many shops are lined
up. And it's really crowded!",""
"人が大勢いますね。
油断すると、はぐれてしまいそう……","There's a lot of people here. If I let my guard down, we might get separated..","There are a lot of people here.
If you're not careful, you might get separated. ......","There's a lot of people here. If I let
my guard down, we might get separated..",""
"はい……立ってるだけで目が回りそうです","Yes... Just standing there makes me dizzy","Yes ...... I'm dizzy just standing here!","Yes... Just standing there makes me dizzy",""
"静香ちゃんも紬ちゃんも、
今日は全力で楽しまなきゃダメだからね★","Shizuka and Tsumugi have to enjoy themselves with everything they've got today! ★","Both Shizuka and Tsumugi,
You have to enjoy today as much as you can.","Shizuka and Tsumugi have to enjoy
themselves with everything they've got today! ★",""
"じゃあミキ、わたあめ買いに行くの☆
あ、あっちの唐揚げも美味しそうなの！","Miki, let's go buy cotton candy☆ Th-The fried chicken over there looks good too!","Then, Miki, I'm going to buy candy canes.
Oh, the fried chicken over there looks delicious too!","Miki, let's go buy cotton candy☆ Th-The
fried chicken over there looks good too!",""
"自分は、焼きトウモロコシが食べたいな♪
もちろん、焼きそばも買うぞ！","I want to eat grilled corn♪ Of course, we'll buy yakisoba too!","I'd like to eat grilled corn myself.
Of course, I'll buy some yakisoba!","I want to eat grilled corn♪ Of
course, we'll buy yakisoba too!",""
"私は、屋台巡りをしようかと。
遊戯店を見て回るのもまた一興……","I was thinking of checking out all the food stalls. It's fun to look around them..","I was thinking of visiting the food stalls.
It's also a great way to look around the playground: ......","I was thinking of checking out all the
food stalls. It's fun to look around them..",""
"じゃあ亜美は、お姫ちんと一緒に行こっかなー♪","Then maybe Ami should go with the princess-♪","Well then, Ami, I think I'll go with the princess.","Then maybe Ami should go with the princess-♪",""
"真美もー！
食べて遊んで、お祭りを楽しまなくちゃねー♪","You too, Mami! We have to eat and play. Let's enjoy the festival~","Mami, too!
We must eat, play, and enjoy the festival!","You too, Mami! We have to eat and
play. Let's enjoy the festival~",""
"はぁ～……なんだか聞いているだけで、
お腹が空いてきちゃいました！","*sigh* Just listening to you makes me hungry!","Huh......... I'm just kind of hearing about it,
I'm getting hungry!","*sigh* Just listening to
you makes me hungry!",""
"さっきからずっと、いい匂いがしてますからね。
さて、なにを食べましょうか～？","You've been smelling good for a while now. Now then, what should we eat?","It's been smelling so good since a while ago.
Now, what shall we eat?","You've been smelling good for a while
now. Now then, what should we eat?",""
"わたしは、今日は遊びたい気分でーっす！
ヨーヨー釣りとか、楽しそうじゃないですか♪","I'm in the mood to play today! Yo-yo fishing sounds like fun, right? ♪","I'm in the mood for fun today!
Yo-yo fishing, doesn't that sound fun?","I'm in the mood to play today!
Yo-yo fishing sounds like fun, right? ♪",""
"あー。お祭りのゲームって景品もらえるよね。
面白そうなのあったら、やってみようかな～","Ahh. You get prizes for games at festivals, right? If there's anything interesting I want to try..","Ah, festival games give prizes, don't they?
If it looks interesting, I'll give it a try!","Ahh. You get prizes for games at festivals, right?
If there's anything interesting I want to try..",""
"ククク……神々への祭祀、
楽しもうではないか……！","Heheh... Let's enjoy this ritual to the gods!","Kukuk ...... Rituals to the Gods,
Let's have some fun. ......","Heheh... Let's enjoy this
ritual to the gods!",""
"（みんなでお祭りなんて、とっても楽しみ～♪）","(I'm really looking forward to the festival with everyone~♪)","（I'm really looking forward to the festival with everyone!)","(I'm really looking forward to the festival with everyone~♪)",""
"さて、みんなの様子を見に行ってみるか。
……あそこにいるのは、果穂たちだな","Alright, let's go check on everyone. ...That must be Kaho and the others over there","Well, let's go check on everyone.
...... I'm guessing that's Kaho and the others over there.","Alright, let's go check on everyone.
...That must be Kaho and the others over there",""
